,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,InBandwidth
147,2018-08-05 08:30:00,-220053890.17430067,-96936950.85750413,-31638573.910136703,-8737.483181549738,406498266.7090832
148,2018-08-05 08:45:00,-178141579.82785073,-96958258.04993008,-31632135.719813902,-9922.607223923053,444055786.1683582
149,2018-08-05 09:00:00,-122348174.86170647,-101517772.51565446,-29293248.4904937,-14240.718089376522,497679514.0256789
150,2018-08-05 09:15:00,-58695587.33817849,-96278240.47418576,-31994740.90047523,-9735.059811577285,559299737.1161737
151,2018-08-05 09:30:00,-9069524.655582357,-96280322.53076273,-31999022.225000717,-12738.15772494811,601121924.1021755
152,2018-08-05 09:45:00,74320067.03291507,-95644891.34172334,-32334810.827123385,-17069.86195269277,681141833.3055812
153,2018-08-05 11:30:00,381657617.7394063,-101126903.75516467,-29548625.043530248,-41091.19913524976,965974278.6698852
154,2018-08-05 11:45:00,420936767.2482584,-101366058.16416728,-29429866.67151651,-42203.100766139185,1003129356.7228572
155,2018-08-05 12:00:00,431877580.43851894,-105589635.17676574,-27258912.37105221,-49174.704216040474,1007699614.6249207
156,2018-08-05 12:15:00,448203091.82768494,-107697008.40056941,-26176874.729745958,-47746.02601441787,1023224429.1521002
157,2018-08-05 12:30:00,459645599.8255048,-100414384.30442576,-29923476.773765083,-46093.83277082324,1036282675.5186447
158,2018-08-05 12:45:00,480992465.74779344,-100210263.90035187,-30030756.049948055,-48216.29820160928,1053715464.402282
159,2018-08-05 13:00:00,499537624.36616105,-104731815.38042049,-27707377.616532665,-55756.6160236059,1074110169.731496
160,2018-08-05 13:45:00,511162780.1492037,-92367858.8630372,-34067243.31220196,19798.04378490975,1165617073.5880814
161,2018-08-05 14:00:00,491899142.2391537,-97144606.39888722,-31608564.821014907,-50041.8184104114,1065717098.7348127
162,2018-08-05 14:15:00,493941024.57835513,-92169298.62541923,-34167525.87317599,-45092.27645046101,1063699355.9693087
163,2018-08-05 14:30:00,512461775.81966704,-91962161.66240017,-34276049.91267152,-41455.315507060855,1084266632.1191657
164,2018-08-05 14:45:00,522168712.8684204,-91631102.20633492,-34447358.68476931,-47494.14080492158,1089469149.7309608
165,2018-08-05 15:00:00,531276076.0070961,-96670394.67847466,-31853513.623007078,-54811.75727992224,1100763619.4171689
166,2018-08-05 15:45:00,184185904.71309954,-91527735.1754761,-34464015.53112874,122413.81990120072,967506119.867457
167,2018-08-05 16:00:00,463284875.1181662,-101159901.341326,-29540459.995880395,-50513.98147486157,1035408622.2760402
168,2018-08-05 16:15:00,430809500.92797303,-89056760.43363866,-35761457.28335041,-36261.89537063819,1010542345.9152926
169,2018-08-05 16:30:00,342921624.1032973,-96484633.98798957,-31931909.566671446,-31125.63082590702,930110310.1220797
170,2018-08-05 16:45:00,294896967.9734638,-88842131.62353177,-35857176.75360121,-19878.59757964096,886810775.8271338
171,2018-08-05 17:00:00,211252113.2118023,-92743049.54221612,-33841959.60761455,-17073.229296832964,808218929.1582407
172,2018-08-05 18:15:00,-292247454.3728897,-88680584.53506052,-35876939.60875661,-2247.6708484310657,336627916.8060958
173,2018-08-05 18:30:00,-318915198.1135531,-88701772.09028623,-35863168.57223422,-5524.351886328703,309744156.78566235
174,2018-08-05 18:45:00,-327949598.081282,-88241352.47802311,-36098982.00411626,-3470.176079852449,301016911.20595044
175,2018-08-05 19:00:00,-313347755.6873283,-93064507.20331343,-33620065.021735534,-5356.404096016915,315944281.63875294
176,2018-08-05 20:30:00,5510113.1456264965,-87383911.16752946,-36579077.77902076,36423.67020347269,651915188.0454321
177,2018-08-05 20:45:00,-50671483.205961995,-87141602.23982832,-36697644.040851116,15247.97546582043,595019860.7524962
178,2018-08-05 21:00:00,-42013516.18771694,-92326681.61561376,-34031951.9186347,14904.2971566252,604035769.4652275
179,2018-08-05 22:15:00,171037590.08851334,-85864638.25469483,-37378276.00212252,24185.943281827986,819509160.8643341
180,2018-08-05 22:30:00,176662013.05239558,-85870743.58475216,-37375741.56885635,27115.343883020727,825823138.4684727
181,2018-08-05 22:45:00,151565993.77732733,-85737096.40258849,-37441769.6560472,24213.137650416043,800011499.0559093
182,2018-08-05 23:00:00,-46992051.95187399,-91207210.00583091,-34607142.07791277,26891.683327594896,599571840.7283367
183,2018-08-05 23:45:00,-109288314.97122331,-85853975.40715598,-37353533.43781099,19179.99791482739,535569896.09903616
184,2018-08-06 00:00:00,-89774334.55583471,-90845980.24700934,-34788322.739459,-23972.15461306593,510940683.7579179
185,2018-08-06 00:15:00,-162180035.58958,-86599520.05123563,-36964418.39091285,-19083.81928458146,445370744.2304751
186,2018-08-06 00:30:00,-286973150.352648,-87282806.1750897,-36599550.46988103,-2414.607592614925,329511061.26059234
187,2018-08-06 00:45:00,-348983128.1857206,-87683848.97693619,-36386615.81308235,-14435.801370339588,271826856.0050116
188,2018-08-06 01:00:00,-396450413.066829,-93235184.48616816,-33526510.649927437,-15509.79903843378,227513075.2757304
189,2018-08-06 01:15:00,-445615526.1891728,-88603813.33160765,-35903068.793869086,-14217.593308230309,181142099.8979781
190,2018-08-06 01:30:00,-484419034.2288238,-88630094.91818532,-35885367.296789,-11562.351056694339,144937278.93743765
191,2018-08-06 01:45:00,-507095120.2923501,-88978384.20320596,-35703800.869825885,-11304.300536488417,123272767.19244829
192,2018-08-06 03:15:00,-576507384.6546142,-89805355.70274334,-35271013.689169995,-9638.795305878528,58752441.4232542
193,2018-08-06 03:30:00,-583963190.2706969,-89974855.52642481,-35183037.512115076,-8483.41454195006,52074354.27541344
194,2018-08-06 03:45:00,-582854276.9283425,-90158223.53770764,-35088853.03412588,-8381.02754826229,53681575.77668536
195,2018-08-06 04:00:00,-581908704.5747182,-95151239.18881619,-32521106.28111849,-11179.533019955079,53670764.65356524
196,2018-08-06 04:15:00,-582054094.9804994,-90311530.245975,-35064165.641480796,-10371.47533679526,53759365.69499695
197,2018-08-06 04:30:00,-564360816.3859341,-90267433.2011094,-35088752.84115051,-12383.527511726996,69679864.92706501
198,2018-08-06 04:45:00,-535858507.9619412,-90130999.80803913,-35161992.41092284,-12309.3883386156,96994978.6017473
199,2018-08-06 05:00:00,-537860916.3105835,-95131363.18357565,-32590148.03785056,-12682.769445708827,95122123.5682927
200,2018-08-06 05:15:00,-533281473.5115476,-90114516.09222218,-35170747.41863883,-11709.068286878075,99271948.53245254
201,2018-08-06 05:30:00,-525799152.6912396,-89773910.13545893,-35346724.48977968,-13379.783617893008,104907503.88309838
202,2018-08-06 05:45:00,-513131541.8019067,-89681971.67640679,-35395373.62117754,-14170.391774668264,116938243.72269176
203,2018-08-06 06:45:00,-500375931.8098368,-88900623.60915595,-35798587.34538148,-14156.359867386704,131538570.87872083
204,2018-08-06 07:15:00,-476487077.1990911,-88644892.56678762,-35932683.48507359,-16151.805683184544,152407807.59486127
205,2018-08-06 07:30:00,-471222625.4403989,-88360120.67692459,-36079705.51173697,-14779.61549672733,157350189.63991398
206,2018-08-06 07:45:00,-456506930.85912144,-88258046.95624486,-36133788.36425725,-17187.225137358037,168899625.63211212
207,2018-08-06 08:00:00,-430971746.0925027,-92797393.31308904,-33802008.78967752,-16580.42398424636,194634961.0539269
208,2018-08-06 08:15:00,-403709873.9872959,-87648556.36037102,-36452935.012306295,-15959.774053605603,219671234.34114268
