,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,InBandwidth
191,2018-08-06 01:45:00,-507095120.2923503,-88978384.20320584,-35703800.869825885,-11304.300536488528,1795.5894701711295,123272767.19244829
192,2018-08-06 03:15:00,-576507384.6546142,-89805355.70274317,-35271013.68916999,-9638.795305878783,1756.735690989619,58752441.4232542
193,2018-08-06 03:30:00,-583963190.2706971,-89974855.52642465,-35183037.51211507,-8483.414541949933,1309.5803895332608,52074354.27541344
194,2018-08-06 03:45:00,-582854276.9283426,-90158223.53770751,-35088853.034125865,-8381.027548262104,1421.153770275485,53681575.77668536
195,2018-08-06 04:00:00,-581908704.5747182,-95151239.18881607,-32521106.28111849,-11179.53301995525,1694.4481569756936,53670764.65356524
196,2018-08-06 04:15:00,-582054094.9804995,-90311530.24597487,-35064165.64148079,-10371.47533679513,1882.0342670407094,53759365.69499695
197,2018-08-06 04:30:00,-564360816.3859341,-90267433.20110925,-35088752.84115049,-12383.527511727216,2274.527139375602,69679864.92706501
198,2018-08-06 04:45:00,-535858507.9619413,-90130999.80803902,-35161992.41092283,-12309.38833861566,2860.376357996144,96994978.6017473
199,2018-08-06 05:00:00,-537860916.3105836,-95131363.18357553,-32590148.03785055,-12682.76944570889,2283.9795485150717,95122123.5682927
200,2018-08-06 05:15:00,-533281473.5115476,-90114516.09222202,-35170747.41863881,-11709.06828687808,2103.21827132251,99271948.53245254
201,2018-08-06 05:30:00,-525799152.69123966,-89773910.13545881,-35346724.48977967,-13379.783617892926,2216.970165021473,104907503.88309838
202,2018-08-06 05:45:00,-513131541.80190676,-89681971.67640667,-35395373.62117753,-14170.3917746682,2504.1430416466214,116938243.72269176
203,2018-08-06 06:45:00,-500375931.809837,-88900623.60915582,-35798587.34538147,-14156.359867386705,3956.2054086354483,131538570.87872083
204,2018-08-06 07:15:00,-476487077.19909114,-88644892.56678747,-35932683.485073574,-16151.805683184526,4304.762409727081,152407807.59486127
