,CreationTime,principal component 1,principal component 2,InBandwidth
288,2018-08-08 15:30:00,348279655.2355571,-98899117.45901577,918368214.410825
289,2018-08-08 15:45:00,342701023.9112091,-91685287.64025038,910029445.4423764
290,2018-08-08 16:00:00,335327422.9952657,-96813522.54984756,904351582.9375664
291,2018-08-08 16:15:00,336933594.49779975,-106649351.59674414,909455206.0685724
292,2018-08-08 16:30:00,328015964.43738294,-93863704.78748225,902320285.5824764
293,2018-08-08 16:45:00,333841708.93009716,-110756985.28205422,906545231.9998164
294,2018-08-08 17:00:00,46572163.798831575,-104238975.32960625,774674953.6839807
295,2018-08-08 17:15:00,5872489.451650737,-106548838.0331373,738901246.6340308
296,2018-08-08 17:30:00,294103627.61860865,-90577727.9613088,871417491.751307
297,2018-08-08 17:45:00,288970561.4501143,-105586698.73914902,864097360.5738559
298,2018-08-08 18:00:00,281944982.4754105,-103476269.47996564,860009691.0895697
299,2018-08-08 18:15:00,282459681.5956214,-106121074.3211524,861159576.9753077
300,2018-08-08 18:30:00,278724933.6207381,-98619717.68385926,859363322.6182038
301,2018-08-08 18:45:00,247299826.26009497,-99014965.84421852,829679713.5993963
302,2018-08-08 19:00:00,-42757841.25782515,-104486763.08117169,690962576.4367577
303,2018-08-08 19:15:00,-76240996.758476,-92280489.35220106,653534592.4955156
304,2018-08-08 19:30:00,259940278.02983463,-92090912.77217098,839991074.0641067
305,2018-08-08 19:45:00,308434361.91771144,-91849318.52691948,886753276.2189091
306,2018-08-08 20:00:00,358236485.1430883,-96690386.06932202,934045165.4088148
307,2018-08-08 20:15:00,378585192.26316214,-91689573.15771158,954077453.6805832
308,2018-08-08 20:30:00,405529461.2708286,-91974562.80483083,978953915.6225916
309,2018-08-08 20:45:00,102732378.28699109,-92437468.2734455,872768884.9152244
310,2018-08-08 21:00:00,132977692.1041886,-97890701.67362377,895770318.8958168
311,2018-08-08 21:15:00,457167508.203939,-92082302.07368153,1020861440.9516613
312,2018-08-08 21:30:00,468761047.95283544,-91937705.05299143,1035835025.4936695
313,2018-08-08 21:45:00,478370440.37245095,-91959031.28937532,1047235693.0317707
314,2018-08-08 22:00:00,495817844.48122996,-96588961.55192648,1059582384.4433095
315,2018-08-08 22:15:00,486478697.06710315,-91647048.69263563,1048357458.4610033
316,2018-08-08 22:30:00,475157434.2938747,-91458948.31232084,1037391723.8291095
317,2018-08-08 22:45:00,432643221.4662492,-99075570.13862634,1001774929.0513672
318,2018-08-08 23:00:00,67907850.14478435,-97857898.32570323,812987490.4465946
319,2018-08-08 23:15:00,8266995.748892788,-93296685.86109772,737298542.814349
320,2018-08-08 23:30:00,171948023.89296556,-92546650.09441315,757158325.7229582
321,2018-08-08 23:45:00,75440853.46936266,-92958213.92268674,667257457.3259852
322,2018-08-09 00:15:00,-95877102.55247894,-94587494.35838231,545930533.0651326
323,2018-08-09 00:30:00,-183434887.7121701,-95479812.17434186,457970181.53474104
324,2018-08-09 00:45:00,-248858182.4774722,-96070465.06118175,392411683.222162
325,2018-08-09 01:00:00,-322287243.1654171,-101585892.95187663,318556140.6319135
326,2018-08-09 01:15:00,-371047380.7950165,-97023940.76557715,269476162.11733866
327,2018-08-09 01:30:00,-414227091.7409666,-97790563.61302128,225906782.6657203
328,2018-08-09 02:15:00,-495037398.17706347,-98434657.11169566,144899233.1366557
329,2018-08-09 02:30:00,-511272934.0335771,-98535487.4348817,128399150.7266001
330,2018-08-09 02:45:00,-527380007.68053025,-98962986.20120178,112514759.65518476
331,2018-08-09 03:00:00,-537717577.0285136,-104024367.58874679,102074435.57201985
332,2018-08-09 03:15:00,-542463293.5224819,-99055914.59782414,97166746.28476782
333,2018-08-09 03:30:00,-551745911.1565297,-99018682.42302565,87870007.00061709
334,2018-08-09 04:45:00,-569553556.7674439,-99132845.15385696,69879980.33802012
335,2018-08-09 05:00:00,-572676301.3647968,-104065572.17862308,66672341.00269561
336,2018-08-09 05:45:00,-531102111.26909804,-99001799.42309238,108447953.92662829
337,2018-08-09 06:00:00,-505134436.4563617,-103867055.35895464,134357935.92649645
338,2018-08-09 06:15:00,-472881624.67490673,-98756086.00087039,166635631.46686232
339,2018-08-09 07:00:00,-373945742.7101874,-102750294.26932679,266770638.66806498
340,2018-08-09 07:15:00,-342629808.02828336,-97671842.94069448,297883445.02805763
341,2018-08-09 08:15:00,-186436062.4228581,-95838785.76484786,453890545.51246506
